pick_no,round,slot,team_strategy,player_name,position,nfl_team,adp,vorp,strategy_weight,final_score
1,1,1,bpa,Josh Allen,QB,BUF,23.69,149.5,2.60,555.8
2,1,2,bpa,Lamar Jackson,QB,BAL,34.66,143.0,2.60,409.0
3,1,3,superflex,Drake Maye,QB,NE,44.72,136.5,2.60,390.4
4,1,4,bpa,Joe Burrow,QB,CIN,51.85,130.0,2.60,409.0
5,1,5,bpa,Jayden Daniels,QB,WAS,59.79,123.5,2.60,388.5
6,1,6,bpa,Jalen Hurts,QB,PHI,62.66,117.0,2.60,368.1
7,1,7,superflex_punt,Jahmyr Gibbs,RB,DET,1.82,210.0,1.35,405.4
8,1,8,bpa,Caleb Williams,QB,CHI,70.93,110.5,2.60,347.6
9,1,9,bpa,Dak Prescott,QB,DAL,81.43,104.0,2.60,327.2
10,1,10,bpa,Justin Herbert,QB,LAC,80.04,97.5,2.60,306.7
11,1,11,bpa,Ja'Marr Chase,WR,CIN,2.54,211.5,1.00,302.4
12,1,12,bpa,Puka Nacua,WR,LAR,4.14,207.0,1.00,296.0
13,2,12,bpa,Bijan Robinson,RB,ATL,2.80,204.0,1.00,291.7
14,2,11,bpa,Christian McCaffrey,RB,SF,7.61,198.0,1.00,283.1
15,2,10,bpa,Jonathan Taylor,RB,IND,9.47,192.0,1.30,356.9
16,2,9,bpa,Jaxon Smith-Njigba,WR,SEA,5.43,202.5,1.20,347.5
17,2,8,bpa,Amon-Ra St. Brown,WR,DET,6.76,198.0,1.20,339.8
18,2,7,superflex_punt,Drake London,WR,ATL,17.10,184.5,1.30,343.0
19,2,6,bpa,CeeDee Lamb,WR,DAL,10.17,193.5,1.20,281.0
20,2,5,bpa,Justin Jefferson,WR,MIN,11.18,189.0,1.20,274.4
21,2,4,bpa,Rashee Rice,WR,KC,27.44,162.0,1.20,305.8
22,2,3,superflex,A.J. Brown,WR,NE,17.61,180.0,1.20,300.6
23,2,2,bpa,Chris Olave,WR,NO,25.20,157.5,1.20,297.3
24,2,1,bpa,James Cook,RB,BUF,12.49,186.0,1.30,266.0
25,3,1,bpa,George Pickens,WR,DAL,22.73,175.5,1.20,254.8
26,3,2,bpa,Ashton Jeanty,RB,LV,18.94,180.0,1.30,257.4
27,3,3,superflex,De'Von Achane,RB,MIA,16.46,174.0,1.30,248.8
