pick_no,round,slot,team_strategy,player_name,position,nfl_team,adp,vorp,strategy_weight,final_score
1,1,1,bpa,Ja'Marr Chase,WR,CIN,2.54,211.5,1.00,302.4
2,1,2,bpa,Jahmyr Gibbs,RB,DET,1.82,210.0,1.00,300.3
3,1,3,hero_rb,Bijan Robinson,RB,ATL,2.80,204.0,2.50,729.3
4,1,4,bpa,Puka Nacua,WR,LAR,4.14,207.0,1.00,296.0
5,1,5,bpa,Jaxon Smith-Njigba,WR,SEA,5.43,202.5,1.00,289.6
6,1,6,bpa,Amon-Ra St. Brown,WR,DET,6.76,198.0,1.00,311.5
7,1,7,zero_rb,Drake London,WR,ATL,17.10,184.5,1.60,464.3
8,1,8,bpa,Christian McCaffrey,RB,SF,7.61,198.0,1.00,283.1
9,1,9,bpa,Jonathan Taylor,RB,IND,9.47,192.0,1.00,274.6
10,1,10,bpa,CeeDee Lamb,WR,DAL,10.17,193.5,1.00,234.1
11,1,11,robust_rb,James Cook,RB,BUF,12.49,186.0,2.00,409.2
12,1,12,bpa,Ashton Jeanty,RB,LV,18.94,180.0,1.00,217.8
13,2,12,bpa,Justin Jefferson,WR,MIN,11.18,189.0,1.00,270.3
14,2,11,robust_rb,De'Von Achane,RB,MIA,16.46,174.0,2.00,343.0
15,2,10,bpa,A.J. Brown,WR,NE,17.61,180.0,1.00,223.5
16,2,9,bpa,Rashee Rice,WR,KC,27.44,162.0,1.00,231.7
17,2,8,bpa,Chris Olave,WR,NO,25.20,157.5,1.00,247.7
18,2,7,zero_rb,George Pickens,WR,DAL,22.73,175.5,1.60,295.0
19,2,6,bpa,Saquon Barkley,RB,PHI,18.79,168.0,1.00,184.8
20,2,5,bpa,Chase Brown,RB,CIN,17.00,156.0,1.00,223.1
21,2,4,bpa,Derrick Henry,RB,BAL,27.63,144.0,1.00,205.9
22,2,3,hero_rb,Nico Collins,WR,HOU,21.56,171.0,1.50,282.2
23,2,2,bpa,Malik Nabers,WR,NYG,26.76,166.5,1.00,183.2
24,2,1,bpa,Omarion Hampton,RB,LAC,20.28,162.0,1.00,196.0
25,3,1,bpa,Kenneth Walker,RB,KC,21.95,150.0,1.00,147.8
26,3,2,bpa,DeVonta Smith,WR,PHI,31.44,153.0,1.00,146.1
27,3,3,hero_rb,Zay Flowers,WR,BAL,36.85,130.5,1.50,267.3
28,3,4,bpa,Garrett Wilson,WR,NYJ,38.42,126.0,1.00,172.1
29,3,5,bpa,Tetairoa McMillan,WR,CAR,36.77,148.5,1.00,156.0
30,3,6,bpa,Ladd McConkey,WR,LAC,37.16,144.0,1.00,151.3
31,3,7,zero_rb,Tee Higgins,WR,CIN,37.83,139.5,1.60,198.9
32,3,8,bpa,Emeka Egbuka,WR,TB,39.98,135.0,1.00,141.8
33,3,9,bpa,Jaylen Waddle,WR,DEN,42.76,121.5,1.00,127.6
34,3,10,bpa,Jeremiyah Love,RB,ARI,32.68,138.0,1.00,151.8
35,3,11,robust_rb,Kyren Williams,RB,LAR,35.11,132.0,2.00,182.6
36,3,12,bpa,Luther Burden,WR,CHI,50.39,117.0,1.00,122.9
37,4,12,bpa,Brock Bowers,TE,LV,18.90,82.5,1.00,118.0
38,4,11,robust_rb,Davante Adams,WR,LAR,52.48,112.5,1.40,173.3
39,4,10,bpa,Breece Hall,RB,NYJ,36.93,126.0,1.00,112.9
40,4,9,bpa,Josh Jacobs,RB,GB,38.96,120.0,1.00,107.5
41,4,8,bpa,Trey McBride,TE,ARI,21.97,75.0,1.00,107.3
42,4,7,zero_rb,Javonte Williams,RB,DAL,38.96,114.0,1.70,213.2
